issue_title,difficulty,tags
"API returning user data to unauthorized requests.",hard,"api|security|data"
"Cron jobs stopped. Scheduled tasks not executing.",hard,"cron|scheduler|backend"
"Hot reload causing data corruption in development.",hard,"hotreload|development|bug"
"User sessions persist after logout.",hard,"session|logout|security"
"Mobile API returning 503 during peak hours.",hard,"mobile|api|server"
"Image processing crashing with out of memory.",hard,"image|memory|backend"
"Two-factor authentication 2FA bypass discovered.",hard,"2fa|authentication|security"
"Database connection string exposed in frontend code.",hard,"database|credentials|security"
"Webhook delivery failing. Integrations broken.",hard,"webhook|integration|api"
"Server-side rendering hydration mismatch in production.",hard,"ssr|hydration|frontend"
"File system out of inodes. Cannot create files.",hard,"filesystem|storage|server"
"API gateway routing to wrong microservice.",hard,"api|gateway|routing"
"User deletion not cascading. Orphaned data.",hard,"database|deletion|backend"
"Concurrent requests causing transaction deadlocks.",hard,"database|concurrency|performance"
"Secret keys committed to public repository.",hard,"security|secrets|git"
"Production logs not being collected.",hard,"logging|monitoring|devops"
"Auto-scaling not triggering during traffic spikes.",hard,"autoscaling|traffic|devops"
"GraphQL allows unlimited records. DOS vulnerability.",hard,"graphql|security|api"
"CI/CD deploying untested code to production.",hard,"cicd|testing|deployment"
"User enumeration via timing attack on login.",hard,"security|login|authentication"
"Firewall misconfigured. Internal services exposed.",hard,"firewall|security|network"
"Service mesh causing 30 second latency spikes.",hard,"servicemesh|latency|performance"
"Database indexes missing. Queries taking minutes.",hard,"database|index|performance"
"JWT secret hardcoded across all environments.",hard,"jwt|secret|security"
"Terraform state file corrupted.",hard,"terraform|infrastructure|devops"
"API versioning broken. Clients getting wrong responses.",hard,"api|versioning|backend"
"User permissions cached incorrectly. Access bypassed.",hard,"permissions|cache|security"
"Container images have known vulnerabilities.",hard,"containers|security|scanning"
"Blue-green deployment stuck. Traffic not switching.",hard,"bluegreen|deployment|devops"
"Add dark mode toggle to user settings.",medium,"ui|frontend|feature"
"Dashboard loading too slowly. Need to add pagination.",medium,"frontend|performance|feature"
"Improve error messages for form validation. Users find them confusing.",medium,"ux|frontend|improvement"
"Add loading spinners during API calls. UI feels unresponsive.",medium,"ui|frontend|feature"
"Search results not sorting correctly by relevance.",medium,"frontend|bug|feature"
"Need to add export to CSV feature for reports.",medium,"feature|frontend|backend"
"Profile picture upload sometimes fails with large images.",medium,"frontend|backend|bug"
"Mobile navigation menu overlaps content on smaller screens.",medium,"ui|mobile|bug"
"Add confirmation dialog before deleting important items.",medium,"ux|frontend|feature"
"Filter options reset when navigating back to the page.",medium,"frontend|bug|ux"
"Charts not rendering correctly on Safari browser.",medium,"frontend|bug|ui"
"Need better onboarding flow for new users.",medium,"ux|frontend|feature"
"Add keyboard shortcuts for common actions.",medium,"frontend|feature|ux"
"Table columns should be sortable by clicking headers.",medium,"ui|frontend|feature"
"Implement lazy loading for images in feed.",medium,"frontend|performance|feature"
"Add breadcrumb navigation for better user orientation.",medium,"ui|frontend|feature"
"Notification badge not updating in real-time.",medium,"frontend|bug|feature"
"Need to add multi-select option for bulk actions.",medium,"ui|frontend|feature"
"Form data lost when session expires unexpectedly.",medium,"frontend|ux|bug"
"Add auto-save feature for long forms.",medium,"frontend|feature|ux"
"Dropdown menus closing too quickly on hover.",medium,"ui|frontend|bug"
"Need to implement infinite scroll for feed page.",medium,"frontend|performance|feature"
"Add copy to clipboard button for sharing links.",medium,"ui|frontend|feature"
"Modal dialogs not closing when clicking outside.",medium,"ui|frontend|bug"
"Need password strength indicator on registration.",medium,"auth|frontend|feature"
"Add drag and drop support for file uploads.",medium,"ui|frontend|feature"
"Timezone handling incorrect for scheduled events.",medium,"backend|frontend|bug"
"Need to add email notification preferences.",medium,"feature|backend|ux"
"Search autocomplete suggestions not relevant.",medium,"frontend|feature|ux"
"Add ability to customize dashboard widgets.",medium,"frontend|feature|ui"
"Progress bar not showing during file uploads.",medium,"ui|frontend|bug"
"Need to implement user activity logging.",medium,"backend|feature|security"
"Add tooltip explanations for complex features.",medium,"ux|frontend|feature"
"Calendar view not syncing with system timezone.",medium,"frontend|bug|feature"
"Need to add print-friendly styles for reports.",medium,"frontend|feature|ui"
"Image thumbnails pixelated on high-DPI displays.",medium,"frontend|ui|bug"
"Add collapsible sections to long forms.",medium,"ui|frontend|feature"
"Need to implement two-factor authentication.",medium,"auth|security|feature"
"Horizontal scrolling issues on mobile devices.",medium,"mobile|frontend|bug"
"Add batch import feature for data migration.",medium,"feature|backend|frontend"
"Need to improve accessibility for screen readers.",medium,"frontend|ux|feature"
"Date picker not working correctly in Firefox.",medium,"frontend|bug|ui"
"Add option to change display density in tables.",medium,"ui|frontend|feature"
"Video player controls hard to see on light backgrounds.",medium,"ui|frontend|bug"
"Need to add comment and annotation features.",medium,"feature|frontend|backend"
"Add undo functionality for destructive actions.",medium,"ux|frontend|feature"
"Map component not loading in certain regions.",medium,"frontend|bug|feature"
"Need offline mode support for mobile app.",medium,"mobile|feature|frontend"
"Dropdown selections not persisting after page refresh.",medium,"frontend|bug|ux"
"Add quick actions menu for power users.",medium,"frontend|feature|ux"
"Need to implement data export in multiple formats.",medium,"feature|backend|frontend"
"Animation performance poor on older devices.",medium,"frontend|performance|mobile"
"Add favorites or bookmarking functionality.",medium,"feature|frontend|ux"
"Need to implement version history for documents.",medium,"backend|feature|frontend"
"Form field focus indicator not visible enough.",medium,"ui|frontend|ux"
"Add support for markdown in text fields.",medium,"frontend|feature|ui"
"Need to improve table responsiveness on mobile.",medium,"mobile|frontend|ui"
"Color contrast issues affecting readability.",medium,"ux|frontend|ui"
"Add bulk edit capability for admin users.",medium,"feature|frontend|backend"
"Need to implement rate limiting display to users.",medium,"api|frontend|feature"
"Sidebar navigation takes too much space on small screens.",medium,"ui|mobile|frontend"
"Add integration with popular calendar apps.",medium,"feature|api|backend"
"Need to show recently viewed items section.",medium,"ux|frontend|feature"
"File preview not working for certain formats.",medium,"frontend|bug|feature"
"Add customizable notification sounds.",medium,"feature|frontend|ux"
"Need to improve search result highlighting.",medium,"frontend|feature|ui"
"Grid layout breaking with long text content.",medium,"ui|frontend|bug"
"Add template system for common workflows.",medium,"feature|frontend|backend"
"Need sticky headers for long scrollable tables.",medium,"ui|frontend|feature"
"Badge notifications not syncing across tabs.",medium,"frontend|bug|feature"
"Add right-click context menu for quick actions.",medium,"ui|frontend|feature"
"Need to implement session timeout warnings.",medium,"auth|frontend|ux"
"Chart legends overlapping on small screens.",medium,"ui|frontend|bug"
"Add split-view option for comparison mode.",medium,"frontend|feature|ui"
"Need to improve empty state designs.",medium,"ux|ui|frontend"
"Auto-complete causing performance issues with large datasets.",medium,"frontend|performance|bug"
"Add keyboard-accessible date picker.",medium,"frontend|feature|ux"
"Need to implement smart defaults based on user history.",medium,"frontend|feature|ux"
"Implement social sharing buttons for content.",medium,"frontend|feature|social"
"Add avatar customization options for user profiles.",medium,"ui|frontend|feature"
"Need to show read receipts for messages.",medium,"feature|frontend|backend"
"Implement geolocation-based features for mobile.",medium,"mobile|feature|backend"
"Add support for multiple languages in the interface.",medium,"frontend|feature|i18n"
"Need to implement push notifications for mobile.",medium,"mobile|feature|backend"
"Add support for file versioning in document uploads.",medium,"backend|feature|frontend"
"Implement tagging system for better organization.",medium,"feature|frontend|backend"
"Need to add advanced search filters.",medium,"frontend|feature|ux"
"Add support for custom themes beyond dark mode.",medium,"ui|frontend|feature"
"Implement recurring events in calendar feature.",medium,"feature|frontend|backend"
"Need to add team collaboration features.",medium,"feature|backend|ux"
"Add support for video conferencing integration.",medium,"feature|api|backend"
"Implement activity feed for team updates.",medium,"frontend|feature|backend"
"Need to add approval workflow for content.",medium,"feature|backend|ux"
"Add support for custom fields in forms.",medium,"frontend|feature|backend"
"Implement analytics dashboard for users.",medium,"frontend|feature|backend"
"Need to add reporting and insights features.",medium,"feature|frontend|backend"
"Add support for webhook notifications.",medium,"api|backend|feature"
"Implement audit trail for sensitive actions.",medium,"backend|feature|security"
"Need to add role-based dashboard views.",medium,"frontend|feature|auth"
"Add support for scheduled publishing.",medium,"feature|backend|frontend"
"Implement content recommendation engine.",medium,"backend|feature|ai"
"Need to add A/B testing capabilities.",medium,"feature|backend|frontend"
"Add support for custom email templates.",medium,"backend|feature|ux"
"Implement real-time collaboration on documents.",medium,"feature|frontend|backend"
"Need to add file compression for uploads.",medium,"backend|feature|performance"
"Add support for custom URL slugs.",medium,"frontend|feature|backend"
"Implement content scheduling calendar.",medium,"ui|frontend|feature"
"Need to add batch processing for imports.",medium,"backend|feature|performance"
"Add support for custom status workflows.",medium,"feature|backend|ux"
"Implement content locking for editing.",medium,"feature|backend|frontend"
"Need to add diff view for version comparison.",medium,"frontend|feature|ui"
"Add support for content templates.",medium,"feature|frontend|backend"
"Implement automated content backups.",medium,"backend|feature|security"
"Need to add content expiration settings.",medium,"feature|backend|ux"
"Add support for custom notification rules.",medium,"feature|backend|ux"
"Implement content migration tools.",medium,"backend|feature|devops"
"Need to add bulk status updates.",medium,"frontend|feature|ux"
"Add support for content embedding.",medium,"frontend|feature|api"
"Implement smart content suggestions.",medium,"frontend|feature|ai"
"Need to add content analytics export.",medium,"feature|backend|frontend"
"Add support for custom content types.",medium,"backend|feature|frontend"
"Implement content approval notifications.",medium,"feature|backend|ux"
"Need to add content preview mode.",medium,"frontend|feature|ux"
"Add support for scheduled maintenance mode.",medium,"backend|feature|devops"
"Implement user segment targeting.",medium,"feature|backend|marketing"
"Need to add conversion tracking.",medium,"feature|backend|analytics"
"Add support for custom dashboards.",medium,"frontend|feature|ui"
"Implement data visualization widgets.",medium,"frontend|feature|ui"
"Need to add performance monitoring alerts.",medium,"backend|feature|devops"
"Add support for API usage analytics.",medium,"api|feature|backend"
"Implement user journey tracking.",medium,"feature|backend|analytics"
"Need to add cohort analysis features.",medium,"feature|backend|analytics"
"Add support for custom report builders.",medium,"frontend|feature|backend"
"Implement funnel analysis visualization.",medium,"frontend|feature|analytics"
"Need to add real-time metrics dashboard.",medium,"frontend|feature|backend"
"Add support for data export scheduling.",medium,"backend|feature|ux"
"Implement anomaly detection alerts.",medium,"backend|feature|ai"
"Need to add benchmark comparisons.",medium,"feature|frontend|analytics"
"Add support for goal tracking.",medium,"feature|frontend|backend"
"Implement predictive analytics features.",medium,"backend|feature|ai"
"Need to add trend analysis views.",medium,"frontend|feature|analytics"
"Add support for custom date ranges in reports.",medium,"frontend|feature|ux"
"Implement data refresh scheduling.",medium,"backend|feature|devops"
"Need to add drill-down capabilities in charts.",medium,"frontend|feature|ui"
"Add support for data annotations.",medium,"frontend|feature|ux"
"Implement report sharing functionality.",medium,"feature|frontend|backend"
"Need to add comparison mode for metrics.",medium,"frontend|feature|analytics"
"Add support for custom metric calculations.",medium,"backend|feature|analytics"
"Implement automated report generation.",medium,"backend|feature|ux"
"Need to add data quality indicators.",medium,"frontend|feature|backend"
"Add support for metric alerts.",medium,"backend|feature|ux"
"Implement correlation analysis features.",medium,"backend|feature|analytics"
"Need to add attribution modeling.",medium,"feature|backend|analytics"
"Add support for custom event tracking.",medium,"backend|feature|analytics"
"Implement heatmap visualizations.",medium,"frontend|feature|analytics"
"Need to add session replay functionality.",medium,"frontend|feature|analytics"
"Add support for custom dimensions.",medium,"backend|feature|analytics"
"Implement user flow visualization.",medium,"frontend|feature|analytics"
"Need to add retention analysis charts.",medium,"frontend|feature|analytics"
"Add support for multi-touch attribution.",medium,"backend|feature|analytics"
"Implement revenue tracking features.",medium,"backend|feature|analytics"
"Need to add customer lifetime value tracking.",medium,"backend|feature|analytics"
"Add support for custom segments.",medium,"backend|feature|analytics"
"Implement engagement scoring.",medium,"backend|feature|analytics"
"Need to add product analytics integration.",medium,"feature|api|analytics"
"Add support for experiment tracking.",medium,"backend|feature|analytics"
"Implement feature flag management.",medium,"backend|feature|devops"
"Need to add gradual rollout capabilities.",medium,"backend|feature|devops"
"Add support for targeting rules.",medium,"backend|feature|marketing"
"Implement remote config management.",medium,"backend|feature|devops"
"Need to add feature usage tracking.",medium,"backend|feature|analytics"
"Add support for environment-specific configs.",medium,"backend|feature|devops"
"Implement configuration change history.",medium,"backend|feature|devops"
"Need to add config validation rules.",medium,"backend|feature|devops"
"Add support for dynamic feature toggles.",medium,"backend|feature|devops"
"Implement config dependency management.",medium,"backend|feature|devops"
"Need to add config rollback capabilities.",medium,"backend|feature|devops"
"Add support for config inheritance.",medium,"backend|feature|devops"
"Implement config audit logging.",medium,"backend|feature|security"
"Need to add config access controls.",medium,"backend|feature|security"
"Add support for config encryption.",medium,"backend|feature|security"
"Implement config sync across environments.",medium,"backend|feature|devops"
"Need to add config testing tools.",medium,"backend|feature|testing"
"Add support for config documentation.",medium,"backend|feature|documentation"
"Implement config impact analysis.",medium,"backend|feature|devops"
"Need to add config usage monitoring.",medium,"backend|feature|analytics"
"Add API endpoint for user preferences.",medium,"api|backend|feature"
"Implement batch API operations.",medium,"api|backend|feature"
"Need to add API versioning strategy.",medium,"api|backend|feature"
"Add support for GraphQL subscriptions.",medium,"api|backend|feature"
"Implement API response caching.",medium,"api|backend|performance"
"Need to add API documentation generator.",medium,"api|documentation|feature"
"Add support for API key rotation.",medium,"api|security|feature"
"Implement API usage quotas.",medium,"api|backend|feature"
"Need to add API health endpoints.",medium,"api|backend|devops"
"Add support for API webhooks.",medium,"api|backend|feature"
"Implement API request validation.",medium,"api|backend|security"
"Need to add API response compression.",medium,"api|backend|performance"
"Add support for API error standardization.",medium,"api|backend|ux"
"Implement API client SDK generation.",medium,"api|feature|documentation"
"Need to add API changelog automation.",medium,"api|documentation|devops"
"Add support for API sandbox environment.",medium,"api|feature|devops"
"Implement API mock server.",medium,"api|feature|testing"
"Need to add API performance benchmarks.",medium,"api|performance|testing"
"Add support for API contract testing.",medium,"api|testing|feature"
"Implement API dependency tracking.",medium,"api|backend|devops"
"User profile page needs a refresh button.",medium,"frontend|feature|ux"
"Add support for filtering by date range.",medium,"frontend|feature|ui"
"Need to improve loading time for dashboard.",medium,"frontend|performance|feature"
"Add ability to reorder sidebar items.",medium,"ui|frontend|feature"
"Implement quick search keyboard shortcut.",medium,"frontend|feature|ux"
"Need to add bulk delete functionality.",medium,"frontend|feature|backend"
"Add support for custom color themes.",medium,"ui|frontend|feature"
"Implement read-only mode for shared views.",medium,"frontend|feature|backend"
"Need to add compact view for tables.",medium,"ui|frontend|feature"
"Add support for pinning favorite items.",medium,"frontend|feature|ux"
"Implement recent searches history.",medium,"frontend|feature|ux"
"Need to add time zone selector in settings.",medium,"frontend|feature|ux"
"Add support for multiple file upload.",medium,"frontend|feature|backend"
"Implement voice input for search.",medium,"frontend|feature|ai"
"Need to add camera upload on mobile.",medium,"mobile|feature|frontend"
"Add support for QR code scanning.",medium,"mobile|feature|frontend"
"Implement biometric login option.",medium,"mobile|feature|auth"
"Need to add swipe gestures for actions.",medium,"mobile|feature|ux"
"Add support for widget on home screen.",medium,"mobile|feature|frontend"
"Implement share sheet integration.",medium,"mobile|feature|frontend"
"Update copyright year in footer.",easy,"documentation|frontend"
"Fix typo in error message for failed login.",easy,"frontend|bug"
"Add missing alt text for decorative images.",easy,"frontend|ux"
"Update placeholder text in search box.",easy,"ui|frontend"
"Fix broken link in help documentation.",easy,"documentation|bug"
"Add missing translation for one button label.",easy,"frontend|i18n"
"Fix inconsistent button styling on one page.",easy,"ui|frontend"
"Update outdated screenshot in user guide.",easy,"documentation"
"Fix spacing issue between footer elements.",easy,"ui|frontend"
"Add missing aria-label to icon button.",easy,"frontend|ux"
"Fix grammar error in confirmation message.",easy,"frontend|documentation"
"Update deprecated package version in readme.",easy,"documentation|backend"
"Add hover state to secondary buttons.",easy,"ui|frontend"
"Fix alignment of checkbox labels.",easy,"ui|frontend"
"Update contact email in about page.",easy,"documentation|frontend"
"Fix inconsistent date format in one report.",easy,"frontend|bug"
"Add missing period at end of help text.",easy,"documentation|frontend"
"Fix color of disabled state for one input.",easy,"ui|frontend"
"Update team member photo in about section.",easy,"documentation|frontend"
"Fix margin around success message banner.",easy,"ui|frontend"
"Add tooltip to explain ambiguous icon.",easy,"ux|frontend"
"Fix capitalization in navigation menu item.",easy,"ui|frontend"
"Update version number in package.json.",easy,"documentation|backend"
"Add missing cursor pointer on clickable elements.",easy,"ui|frontend"
"Fix tab order for one form section.",easy,"frontend|ux"
"Update API documentation with new endpoint.",easy,"documentation|api"
"Fix typo in welcome email template.",easy,"documentation|backend"
"Add missing favicon for mobile devices.",easy,"frontend|mobile"
"Update privacy policy with new regulations.",easy,"documentation|legal"
"Fix broken image path in readme file.",easy,"documentation|bug"
"Add missing placeholder for empty dropdown.",easy,"ui|frontend"
"Update changelog with recent releases.",easy,"documentation"
"Fix inconsistent icon sizes in navigation.",easy,"ui|frontend"
"Add missing title attribute to links.",easy,"frontend|ux"
"Update terms of service document.",easy,"documentation|legal"
"Fix typo in database field comment.",easy,"documentation|database"
"Add missing loading text for button.",easy,"ui|frontend"
"Update contributing guidelines.",easy,"documentation"
"Fix broken link in email footer.",easy,"documentation|bug"
"Add missing required field indicator.",easy,"ui|frontend"
"Update outdated dependency in lock file.",easy,"backend|documentation"
"Fix inconsistent error icon color.",easy,"ui|frontend"
"Add missing success message after action.",easy,"ux|frontend"
"Update readme with installation steps.",easy,"documentation"
"Fix typo in API response message.",easy,"api|bug"
"Add missing close button to modal.",easy,"ui|frontend"
"Update license file with correct year.",easy,"documentation|legal"
"Fix inconsistent spacing in card layouts.",easy,"ui|frontend"
"Add missing confirmation for logout.",easy,"ux|frontend"
"Update environment variable documentation.",easy,"documentation|devops"
"Fix typo in configuration comments.",easy,"documentation|backend"
"Add missing label for form field.",easy,"ui|frontend"
"Update security documentation.",easy,"documentation|security"
"Fix broken mailto link in contact page.",easy,"frontend|bug"
"Add missing skip link for accessibility.",easy,"frontend|ux"
"Update deployment documentation.",easy,"documentation|devops"
"Fix inconsistent font weight in headings.",easy,"ui|frontend"
"Add missing breadcrumb separator.",easy,"ui|frontend"
"Update troubleshooting guide.",easy,"documentation"
"Fix typo in tooltip text.",easy,"ui|frontend"
"Add missing empty state message.",easy,"ux|frontend"
"Update code comments for clarity.",easy,"documentation|backend"
"Fix broken anchor link on page.",easy,"frontend|bug"
"Add missing input validation message.",easy,"ux|frontend"
"Update API rate limit documentation.",easy,"documentation|api"
"Fix inconsistent table border colors.",easy,"ui|frontend"
"Add missing focus outline for buttons.",easy,"frontend|ux"
"Update webhook documentation examples.",easy,"documentation|api"
"Fix typo in notification message.",easy,"frontend|bug"
"Add missing pagination label.",easy,"ui|frontend"
"Update database schema documentation.",easy,"documentation|database"
"Fix inconsistent dropdown arrow styles.",easy,"ui|frontend"
"Add missing status indicator colors.",easy,"ui|frontend"
"Update error code documentation.",easy,"documentation|api"
"Fix broken social media links.",easy,"frontend|bug"
"Add missing character counter for input.",easy,"ui|frontend"
"Update migration guide for new version.",easy,"documentation"
"Fix wrong color on active menu item.",easy,"ui|frontend"
"Add missing tooltip for icon button.",easy,"ux|frontend"
"Update FAQ with common questions.",easy,"documentation"
"Fix misaligned avatar in header.",easy,"ui|frontend"
"Add missing loading state for button.",easy,"ui|frontend"
"Update keyboard shortcut documentation.",easy,"documentation|ux"
"Fix extra whitespace in footer text.",easy,"ui|frontend"
"Add missing error icon to form field.",easy,"ui|frontend"
"Update README badges with latest versions.",easy,"documentation"
"Fix truncated text in narrow containers.",easy,"ui|frontend"
"Add missing hover effect on cards.",easy,"ui|frontend"
"Update CODEOWNERS file with new team.",easy,"documentation|devops"
"Fix inconsistent border radius on buttons.",easy,"ui|frontend"
"Add missing lang attribute to HTML.",easy,"frontend|ux"
"Update pull request template.",easy,"documentation|devops"
"Fix wrong text color in dark mode.",easy,"ui|frontend"
"Add missing meta description tag.",easy,"frontend|seo"
"Update issue templates for bugs.",easy,"documentation|devops"
"Fix blurry logo on retina displays.",easy,"ui|frontend"
"Add missing autocomplete attribute.",easy,"frontend|ux"
"Update code style guide documentation.",easy,"documentation|backend"
